year,module,student,first
2010,SPS9C5,1622670/1,1
2010,SPS9C5,1925649/1,1
2010,SPS9C5,1715065/1,1
2010,SPS9C5,1710992/1,1
2010,SPS9C5,1714088/1,0
2010,SPS9C5,1714638/1,0
2010,SPS9C5,1712727/1,0
2010,SPS9C5,1714176/1,0
2010,SPS9C5,1718628/1,0
2010,SPS9C5,1816042/1,0
2010,SPS9C5,1817961/1,0
2010,SPS9C5,1715326/1,0
2010,SPS9C5,1714666/1,0
2010,SPS9C5,1725545/1,0
2010,SPS9C5,1711361/1,0
2010,SPS9C5,1717358/1,0
2010,SPS9C5,1712315/1,0
2010,SPS9C5,1825216/1,0
2010,SPS9C5,1210599/1,0
2010,SPS9C5,1721937/1,0
2010,SPS9C5,1715697/1,0
2010,SPS9C5,1715634/1,0
2010,SPS9C5,1719084/1,0
2010,SPS9C5,1611210/1,0
2010,SPS9C5,1610900/1,0
2010,SPS9C5,1711956/1,0
2010,SPS9C5,1414513/1,0
2010,SPS9C5,1724305/1,0
2010,SPS9C5,1524468/1,0
2010,SPS9C5,1713464/1,0
2010,SPS9C5,1723686/1,0
2010,SPS9C5,1723173/1,0
2010,SPS9C5,1818781/1,0
2010,SPS9C5,1713717/1,0
2010,SPS9C5,1715536/1,0
2010,SPS9C5,1713720/1,0
2010,SPS9C5,1714820/1,0
2010,SPS9C5,1720931/1,0
2010,SPS9C5,1927296/1,0
2010,SPS9C5,1712213/1,0
2010,SPS9C5,1717417/1,0
2010,SPS9C5,1711022/1,0
2010,SPS9C5,1711759/1,0
2010,SPS9C5,1713711/1,0
2010,SPS9C5,1813965/1,0
2010,SPS9C5,1615089/1,0
2010,SPS9C5,1713082/1,0
2010,SPS9C5,1717308/1,0
2010,SPS9C5,1714217/1,0
2010,SPS9C5,1719462/1,0
2010,SPS9C5,1717067/1,0
2010,SPS9C5,1818374/1,0
2010,SPS9C5,1714904/1,0
2010,SPS9C5,1616108/1,0
2010,SPS9C5,1713830/1,0
2010,SPS9C5,1818333/1,0
2010,SPS9C5,1715860/1,0
2010,SPS9C5,1518265/1,0
2010,SPS9C5,1720415/1,0
2010,SPS9C5,1715961/1,0
2010,SPS9C5,1720654/1,0
2011,SPS9C5,1817918/1,1
2011,SPS9C5,1615304/1,0
2011,SPS9C5,1816896/1,0
2011,SPS9C5,1815063/1,0
2011,SPS9C5,1815167/1,0
2011,SPS9C5,1821212/1,0
2011,SPS9C5,1715961/1,0
2011,SPS9C5,1813436/1,0
2011,SPS9C5,1816330/1,0
2011,SPS9C5,1811065/1,0
2011,SPS9C5,1714260/1,0
2011,SPS9C5,1717312/1,0
2011,SPS9C5,1815281/1,0
2011,SPS9C5,1814091/1,0
2011,SPS9C5,1821670/1,0
2011,SPS9C5,1820345/1,0
2011,SPS9C5,1813468/1,0
2011,SPS9C5,2027361/1,0
2011,SPS9C5,1810323/1,0
2011,SPS9C5,1811737/1,0
2011,SPS9C5,1814367/1,0
2011,SPS9C5,1818202/1,0
2011,SPS9C5,1812003/1,0
2011,SPS9C5,1815261/1,0
2011,SPS9C5,1813918/1,0
2011,SPS9C5,1812838/1,0
2011,SPS9C5,1822244/1,0
2011,SPS9C5,1811143/1,0
2011,SPS9C5,1812691/1,0
2011,SPS9C5,1817756/1,0
2011,SPS9C5,1716429/1,0
2011,SPS9C5,1815591/1,0
2011,SPS9C5,1813596/1,0
2011,SPS9C5,1816922/1,0
2011,SPS9C5,1811339/1,0
2011,SPS9C5,1815877/1,0
2011,SPS9C5,1812087/1,0
2011,SPS9C5,1811431/1,0
2011,SPS9C5,1812886/1,0
2011,SPS9C5,1814025/1,0
2011,SPS9C5,1814228/1,0
2011,SPS9C5,1811944/1,0
2011,SPS9C5,1725622/1,0
2011,SPS9C5,1815701/1,0
2011,SPS9C5,1811872/1,0
2011,SPS9C5,1818208/1,0
2011,SPS9C5,1823686/2,0
2011,SPS9C5,1810817/1,0
2011,SPS9C5,1813444/1,0
2011,SPS9C5,1720415/1,0
2011,SPS9C5,1911963/1,0
2011,SPS9C5,1612458/1,0
2011,SPS9C5,1718582/1,0
2011,SPS9C5,1815113/1,0
2011,SPS9C5,1812332/1,0
2011,SPS9C5,1817124/1,0
2011,SPS9C5,1827409/1,0
2012,SPS9C5,1815274/1,1
2012,SPS9C5,1810308/1,1
2012,SPS9C5,1811155/1,1
2012,SPS9C5,1913716/1,1
2012,SPS9C5,1914427/1,1
2012,SPS9C5,2018394/1,1
2012,SPS9C5,1912218/1,1
2012,SPS9C5,1913814/1,1
2012,SPS9C5,1818229/1,1
2012,SPS9C5,1912292/1,0
2012,SPS9C5,1913799/1,0
2012,SPS9C5,1916122/1,0
2012,SPS9C5,1918983/1,0
2012,SPS9C5,1818246/1,0
2012,SPS9C5,1911737/1,0
2012,SPS9C5,1918573/1,0
2012,SPS9C5,1914731/1,0
2012,SPS9C5,1916836/1,0
2012,SPS9C5,1913648/1,0
2012,SPS9C5,1815608/1,0
2012,SPS9C5,1916770/1,0
2012,SPS9C5,1914729/1,0
2012,SPS9C5,1917353/1,0
2012,SPS9C5,1917968/1,0
2012,SPS9C5,1916453/1,0
2012,SPS9C5,1913590/1,0
2012,SPS9C5,1913182/1,0
2012,SPS9C5,1917784/1,0
2012,SPS9C5,1916199/1,0
2012,SPS9C5,1913123/1,0
2012,SPS9C5,1916384/1,0
2012,SPS9C5,1918099/1,0
2012,SPS9C5,1918393/1,0
2012,SPS9C5,2131530/1,0
2012,SPS9C5,1914704/1,0
2012,SPS9C5,1917042/1,0
2012,SPS9C5,1925384/1,0
2012,SPS9C5,1911950/1,0
2012,SPS9C5,1915086/1,0
2012,SPS9C5,2020346/1,0
2012,SPS9C5,1920454/1,0
2012,SPS9C5,1812092/1,0
2012,SPS9C5,1915850/1,0
2012,SPS9C5,1927267/1,0
2012,SPS9C5,1912429/1,0
2012,SPS9C5,1912274/1,0
2012,SPS9C5,1913084/1,0
2012,SPS9C5,1717950/1,0
2012,SPS9C5,1921845/1,0
2012,SPS9C5,1912450/1,0
2012,SPS9C5,1914009/1,0
2012,SPS9C5,1916368/1,0
2012,SPS9C5,1921782/1,0
2012,SPS9C5,1919681/1,0
2012,SPS9C5,1816513/1,0
2012,SPS9C5,1918887/1,0
2012,SPS9C5,1921590/1,0
2012,SPS9C5,1714900/1,0
2013,SPS9C5,1910531/1,1
2013,SPS9C5,2014171/1,1
2013,SPS9C5,2014994/1,1
2013,SPS9C5,1921188/1,1
2013,SPS9C5,1912204/1,1
2013,SPS9C5,1921319/1,1
2013,SPS9C5,1911557/1,1
2013,SPS9C5,1912178/1,1
2013,SPS9C5,2012191/1,1
2013,SPS9C5,2017347/1,0
2013,SPS9C5,2122171/1,0
2013,SPS9C5,1814509/1,0
2013,SPS9C5,2017620/1,0
2013,SPS9C5,2013588/1,0
2013,SPS9C5,1916586/1,0
2013,SPS9C5,2010956/1,0
2013,SPS9C5,2014234/1,0
2013,SPS9C5,2021394/1,0
2013,SPS9C5,2016882/1,0
2013,SPS9C5,2020691/1,0
2013,SPS9C5,2021395/1,0
2013,SPS9C5,1912191/1,0
2013,SPS9C5,2230881/1,0
2013,SPS9C5,1915843/1,0
2013,SPS9C5,2019052/1,0
2013,SPS9C5,2019450/1,0
2013,SPS9C5,2014323/1,0
2013,SPS9C5,2023693/1,0
2013,SPS9C5,1917263/1,0
2013,SPS9C5,1921362/1,0
2013,SPS9C5,2015951/1,0
2013,SPS9C5,2018219/1,0
2013,SPS9C5,2020432/1,0
2013,SPS9C5,2018459/1,0
2013,SPS9C5,2017409/1,0
2013,SPS9C5,2012902/1,0
2013,SPS9C5,1914151/1,0
2013,SPS9C5,2022796/1,0
2013,SPS9C5,2016946/1,0
2013,SPS9C5,1918953/1,0
2014,SPS9C5,2012894/1,1
2014,SPS9C5,2119188/1,1
2014,SPS9C5,2113367/1,1
2014,SPS9C5,2124272/1,1
2014,SPS9C5,2116058/1,1
2014,SPS9C5,2114353/1,1
2014,SPS9C5,1918619/2,1
2014,SPS9C5,2116647/1,0
2014,SPS9C5,2120267/1,0
2014,SPS9C5,2119679/1,0
2014,SPS9C5,2132827/1,0
2014,SPS9C5,2122847/1,0
2014,SPS9C5,2124520/1,0
2014,SPS9C5,2112034/1,0
2014,SPS9C5,2116936/1,0
2014,SPS9C5,2110291/1,0
2014,SPS9C5,2119365/1,0
2014,SPS9C5,2119071/1,0
2014,SPS9C5,2122087/1,0
2014,SPS9C5,2111139/1,0
2014,SPS9C5,2114716/1,0
2014,SPS9C5,2120388/1,0
2014,SPS9C5,2015290/1,0
2014,SPS9C5,2119333/1,0
2014,SPS9C5,2120934/1,0
2014,SPS9C5,2114989/1,0
2014,SPS9C5,2122566/1,0
2014,SPS9C5,2113914/1,0
2014,SPS9C5,2116393/1,0
