year,module,student,programme,science,grade,mark,perc,first
2012,SPS9D8,1710989/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,1A,18,90,1
2014,SPS9D8,1911049/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,1A,18,90,1
2013,SPS9D8,1813436/1,Bachelor of Arts with Honours in Sports Studies,0,1A,18,90,1
2013,SPS9D4,2019326/1,Diploma in Higher Education in Sport and Exercise Science,0,1A,18,90,1
2014,SPS9D4,2012894/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1A,18,90,1
2013,SPS9D4,2014243/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1A,18,90,1
2013,SPS9D8,1719812/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,1B,17,85,1
2013,SPS9D8,1817071/1,Bachelor of Arts with Honours in Marketing and Sports Studies,0,1B,17,85,1
2013,SPS9D8,1717312/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,1B,17,85,1
2014,SPS9D8,1815608/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,1B,17,85,1
2011,SPS9D8,1617893/1,Bachelor of Arts with Honours in Sports Studies,0,1B,17,85,1
2014,SPS9D8,1912500/1,Bachelor of Arts with Honours in Sports Studies,0,1B,17,85,1
2014,SPS9D4,2120267/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1B,17,85,1
2014,SPS9D4,2119188/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1B,17,85,1
2013,SPS9D4,2014994/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1B,17,85,1
2012,SPS9D6,1817918/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1B,17,85,1
2014,SPS9D6,1910531/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1B,17,85,1
2014,SPS9D6,1916586/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1B,17,85,1
2014,SPS9D6,2014243/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1B,17,85,1
2011,SPS9D8,1616421/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1B,17,85,1
2012,SPS9D8,1717358/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1B,17,85,1
2012,SPS9D8,1715065/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1B,17,85,1
2014,SPS9D8,1918983/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1B,17,85,1
2014,SPS9D8,1913716/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1B,17,85,1
2014,SPS9D8,1914731/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1B,17,85,1
2012,SPS9D8,1716717/1,Bachelor of Arts with Honours in Film & Media and Sports Studies,0,1C,16,80,1
2013,SPS9D8,1814535/1,Bachelor of Arts with Honours in Journalism Studies and Sports Studies,0,1C,16,80,1
2011,SPS9D8,1514631/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,1C,16,80,1
2014,SPS9D8,1912292/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,1C,16,80,1
2014,SPS9D8,1911950/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,1C,16,80,1
2014,SPS9D4,2122847/1,Bachelor of Arts with Honours in Sports Studies,0,1C,16,80,1
2012,SPS9D6,1710865/1,Bachelor of Arts with Honours in Sports Studies,0,1C,16,80,1
2011,SPS9D8,1615977/1,Bachelor of Arts with Honours in Sports Studies,0,1C,16,80,1
2011,SPS9D8,1515868/1,Bachelor of Arts with Honours in Sports Studies,0,1C,16,80,1
2012,SPS9D8,1714638/1,Bachelor of Arts with Honours in Sports Studies,0,1C,16,80,1
2012,SPS9D8,1713717/1,Bachelor of Arts with Honours in Sports Studies,0,1C,16,80,1
2013,SPS9D8,1816386/1,Bachelor of Arts with Honours in Sports Studies,0,1C,16,80,1
2013,SPS9D8,1715961/1,Bachelor of Arts with Honours in Sports Studies,0,1C,16,80,1
2013,SPS9D8,1823686/2,Bachelor of Arts with Honours in Sports Studies,0,1C,16,80,1
2014,SPS9D8,1914178/1,Bachelor of Arts with Honours in Sports Studies,0,1C,16,80,1
2014,SPS9D8,1921845/1,Bachelor of Arts with Honours in Sports Studies,0,1C,16,80,1
2014,SPS9D8,1710865/1,Bachelor of Arts with Honours in Sports Studies,0,1C,16,80,1
2014,SPS9D8,1913799/1,Bachelor of Arts with Honours in Sports Studies,0,1C,16,80,1
2014,SPS9D8,1923212/1,Bachelor of Arts with Honours in Sports Studies,0,1C,16,80,1
2012,SPS9D8,1718628/1,Bachelor of Arts with Honours in Sports Studies and Tourism Management,0,1C,16,80,1
2014,SPS9D4,2120388/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9D4,2017620/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9D4,2012191/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9D4,1916586/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2012,SPS915,1818229/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS915,1910531/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS915,2012191/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS915,1916586/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2012,SPS9C5,1815274/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2012,SPS9C5,1810308/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2012,SPS9C5,1811155/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9C5,1910531/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9C5,2014171/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9C5,2014994/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2011,SPS9D6,1710992/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2012,SPS9D6,1812003/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9D6,1815274/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2014,SPS9D6,2017620/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2014,SPS9D6,2012191/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2014,SPS9D6,2014994/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2012,SPS9D8,1825216/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2012,SPS9D8,1210599/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9D8,1815063/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9D8,1810323/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9D8,1814367/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9D8,1812003/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9D8,1811065/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2014,SPS9D8,1916368/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2014,SPS9D8,1916487/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2A,15,75,1
2014,SPS9D8,1913554/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2A,15,75,1
2014,SPS9D8,1917692/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2A,15,75,1
2013,SPS915,2012204/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2A,15,75,1
2013,SPS9C5,1921188/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2A,15,75,1
2011,SPS9D8,1611304/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2A,15,75,1
2013,SPS9D8,1711680/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2A,15,75,1
2013,SPS9D8,1815701/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2A,15,75,1
2014,SPS9D8,1916836/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2A,15,75,1
